season_year,team_id,team,conference,win_pct,conf_opp_win_pct,overall_opp_win_pct,opp_win_pct
2018,tennessee-martin,Tennessee-Martin,Ohio Valley Conference,0.5588,0.4456,0.4998,0.4618
2018,southern-illinois-edwardsville,Southern Illinois-Edwardsville,Ohio Valley Conference,0.5312,0.4481,0.4998,0.4636
2018,morehead-state,Morehead State,Ohio Valley Conference,0.6562,0.4367,0.4998,0.4556
2018,jacksonville-state,Jacksonville State,Ohio Valley Conference,0.6129,0.4406,0.4998,0.4584
2018,austin-peay,Austin Peay,Ohio Valley Conference,0.5333,0.4479,0.4998,0.4635
2018,southeast-missouri-state,Southeast Missouri State,Ohio Valley Conference,0.4516,0.4553,0.4998,0.4687
2018,murray-state,Murray State,Ohio Valley Conference,0.3667,0.463,0.4998,0.4741
2018,eastern-kentucky,Eastern Kentucky,Ohio Valley Conference,0.2963,0.4694,0.4998,0.4785
2018,tennessee-tech,Tennessee Tech,Ohio Valley Conference,0.2414,0.4744,0.4998,0.482
2018,tennessee-state,Tennessee State,Ohio Valley Conference,0.2222,0.4762,0.4998,0.4833
2018,eastern-illinois,Eastern Illinois,Ohio Valley Conference,0.1034,0.487,0.4998,0.4908
2018,alabama-birmingham,UAB,Conference USA,0.7941,0.4838,0.4998,0.4886
2018,western-kentucky,Western Kentucky,Conference USA,0.7273,0.489,0.4998,0.4922
2018,rice,Rice,Conference USA,0.697,0.4913,0.4998,0.4939
2018,louisiana-tech,Louisiana Tech,Conference USA,0.6129,0.4978,0.4998,0.4984
2018,middle-tennessee,Middle Tennessee,Conference USA,0.5806,0.5003,0.4998,0.5001
2018,charlotte,Charlotte,Conference USA,0.4667,0.509,0.4998,0.5063
2018,texas-el-paso,UTEP,Conference USA,0.5484,0.5027,0.4998,0.5019
2018,southern-mississippi,Southern Mississippi,Conference USA,0.5,0.5065,0.4998,0.5045
2018,florida-atlantic,Florida Atlantic,Conference USA,0.4643,0.5092,0.4998,0.5064
2018,north-texas,North Texas,Conference USA,0.5484,0.5027,0.4998,0.5019
2018,texas-san-antonio,UTSA,Conference USA,0.3,0.5218,0.4998,0.5152
2018,old-dominion,Old Dominion,Conference USA,0.2581,0.5251,0.4998,0.5175
2018,florida-international,Florida International,Conference USA,0.2759,0.5237,0.4998,0.5165
