player,player_href,season_year,pos,g,mpg,pts_per_g,ast_per_g,trb_per_g,blk_per_g,stl_per_g,three_rate,inside_score,fta_per_g,fg3_pct,treb_pct,oreb_pct,blk_per_g,usg_pct,ast_pct,tov_per_g,pos_encoded,cluster,archetype,pca1,pca2
Kelsey Plum,/wnba/players/p/plumke01w.html,2019,G,34,25.5,8.6,3.0,2.8,0.1,0.8,0.4302,0.6642,1.1,0.36,0.06,0.019,0.1,0.18,0.18899999999999997,1.6,0.0,3,Floor General,-2.046734975594424,0.3421657525074814
Aerial Powers,/wnba/players/p/powerae01w.html,2019,G,30,19.8,11.4,1.5,3.2,0.2,0.8,0.4699,1.0912,3.3,0.362,0.1,0.071,0.2,0.259,0.12,1.5,0.0,3,Floor General,-0.11319386793722358,0.8386963149006431
LaToya Sanders,/wnba/players/p/pringla01w.html,2019,F-C,34,23.6,6.1,1.9,5.5,1.4,0.9,0.0,1.3156,1.1,,0.141,0.068,1.4,0.124,0.11599999999999999,0.9,0.75,2,Stretch Big,1.8855668781943065,-2.272855865345204
Allie Quigley,/wnba/players/q/quiglal01w.html,2019,G,34,28.6,13.8,2.5,3.0,0.2,0.8,0.5196,1.4796,1.6,0.442,0.057999999999999996,0.016,0.2,0.187,0.145,1.4,0.0,3,Floor General,-1.7769865478182227,0.5616628717746498
Nayo Raincock-Ekunwe,/wnba/players/r/raincna01w.html,2019,F,28,13.1,3.7,0.4,2.8,0.1,0.3,0.0357,0.8295,0.9,0.333,0.11900000000000001,0.12,0.1,0.133,0.054000000000000006,0.8,0.5,2,Stretch Big,0.7578114705524156,-2.7924770127324314
Danielle Robinson,/wnba/players/r/robinda01w.html,2019,G,34,27.0,10.1,3.7,3.5,0.2,1.2,0.129,1.7822,1.9,0.22,0.079,0.03,0.2,0.203,0.22399999999999998,2.1,0.0,3,Floor General,-0.24092748147506174,1.2634267182401366
Sugar Rodgers,/wnba/players/r/rodgesu01w.html,2019,G,33,11.6,3.4,1.2,1.5,0.4,0.4,0.7353,0.111,0.2,0.357,0.068,0.012,0.4,0.158,0.16,0.8,0.0,3,Floor General,-2.956739578780178,-0.8833504080113045
Tierra Ruffin-Pratt,/wnba/players/r/ruffiti01w.html,2019,G,34,25.2,6.0,1.7,2.4,0.6,0.8,0.3621,0.5348,1.2,0.342,0.055,0.027000000000000003,0.6,0.126,0.099,0.9,0.0,3,Floor General,-1.7145519225066137,-1.1921235954054874
Mercedes Russell,/wnba/players/r/russeme01w.html,2019,C,34,25.6,7.5,1.0,6.1,0.5,1.1,0.0,1.612,1.9,,0.146,0.109,0.5,0.14,0.07,1.0,1.0,2,Stretch Big,2.341039501809378,-2.4497641214616075
Odyssey Sims,/wnba/players/s/simsod01w.html,2019,G,34,31.9,14.5,5.4,3.4,0.1,1.4,0.2015,2.1744,3.3,0.269,0.065,0.027000000000000003,0.1,0.255,0.293,3.3,0.0,3,Floor General,0.10952953412402239,3.541529211433024
Shekinna Stricklen,/wnba/players/s/stricsh01w.html,2019,F,34,23.6,9.0,1.1,1.9,0.2,1.0,0.7867,0.4,0.8,0.382,0.046,0.012,0.2,0.159,0.078,0.8,0.5,1,3-and-D Wing,-2.5657112945541116,-1.3231559160347668
Brittney Sykes,/wnba/players/s/sykesbr01w.html,2019,G,34,25.9,10.2,2.5,4.4,0.5,0.6,0.3107,1.1948,2.7,0.259,0.091,0.03,0.5,0.231,0.196,2.0,0.0,3,Floor General,-0.21299058835833032,1.3555421432937218
Stephanie Talbot,/wnba/players/t/talbost01w.html,2019,F,33,17.0,5.2,1.2,2.4,0.3,0.9,0.617,0.3528,0.9,0.326,0.087,0.04,0.3,0.168,0.11199999999999999,1.3,0.5,1,3-and-D Wing,-1.3463806638219662,-1.1759176635077857
Alyssa Thomas,/wnba/players/t/thomaal01w.html,2019,F,34,30.2,11.6,3.1,7.8,0.4,1.9,0.0,2.4794,3.6,0.0,0.147,0.08800000000000001,0.4,0.192,0.172,2.0,0.5,4,Interior Big,2.775220982371171,0.18205040543391518
Jasmine Thomas,/wnba/players/t/thomaja01w.html,2019,G,34,29.7,11.1,5.1,2.9,0.1,1.4,0.3462,1.134,2.1,0.366,0.055,0.02,0.1,0.20600000000000002,0.28300000000000003,2.7,0.0,3,Floor General,-1.3675142434565908,2.218922908466208
Kayla Thornton,/wnba/players/t/thornka01w.html,2019,F,27,30.4,10.4,1.8,5.3,0.3,0.9,0.3551,0.9932,2.1,0.272,0.10300000000000001,0.067,0.3,0.20199999999999999,0.111,1.6,0.5,1,3-and-D Wing,0.3081709172470773,-0.5212733304487828
Kristi Toliver,/wnba/players/t/tolivkr01w.html,2019,G,23,29.5,13.0,6.0,2.9,0.1,1.2,0.4216,2.0755,1.5,0.36,0.06,0.02,0.1,0.2,0.313,2.0,0.0,3,Floor General,-1.3910002546597593,1.9828751541013685
Morgan Tuck,/wnba/players/t/tuckmo01w.html,2019,F,33,10.7,3.7,0.8,2.0,0.1,0.4,0.3714,0.3645,0.9,0.357,0.107,0.055999999999999994,0.1,0.196,0.128,0.9,0.5,1,3-and-D Wing,-0.7297780533030711,-1.3152608033084021
Brianna Turner,/wnba/players/t/turnebr01w.html,2019,F-C,29,15.9,4.0,0.5,4.1,0.7,0.2,0.0,0.9146,0.9,,0.15,0.11599999999999999,0.7,0.125,0.057,0.7,0.75,2,Stretch Big,1.785948972402226,-3.221922499708146
Yvonne Turner,/wnba/players/t/turneyv01w.html,2019,G,29,20.5,6.4,2.3,2.8,0.1,0.6,0.4576,0.3905,1.7,0.329,0.077,0.016,0.1,0.201,0.195,2.0,0.0,3,Floor General,-1.7859214310642193,0.8408221519639901
